web-scraper-order,web-scraper-start-url,pagination,pagination-href,publication,title,author,year,issue number,page number,description,MFN,ანოტაცია,გეოგ დასახელება,თემატიკა,მოხსენიებული პირები,ორგანიზაცია,პერსონალია,საკვანძო სიტყვები,ფოტოები,მატიანის რუბრიკა
1524727429-113,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"""დიონისე - ლხინის ღმერთი..."" : [დიონისეს კულტი ძველ კოლხეთსა და იბერიაში. აგუნა - ნაყოფიერებისა და სიუხვის ქართული ღვთაება]",,1992,N1,გვ.86-93,"""დიონისე - ლხინის ღმერთი..."" : [დიონისეს კულტი ძველ კოლხეთსა და იბერიაში. აგუნა - ნაყოფიერებისა და სიუხვის ქართული ღვთაება] // ვაზი და ღვინო. - თბილისი, 1992. - N1. - გვ.86-93[MFN: 330688]",330688,,,,,,,,,  საქართველო; რელიგიური კულტები.
1524727419-6,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1996&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,გორული მწვანე : [ვაზის ჯიში],,1996,N1,გვ.58-60,"გორული მწვანე : [ვაზის ჯიში] // ვაზი და ღვინო. - თბილისი, 1996. - N1-4. - გვ.58-60[MFN: 296891]",296891,,,,,,,,,  სოფლის მეურნეობა; სატყეო მეურნეობა; მებაღეობა მთლიანად; მეხილეობა; მევენახეობა.
1524727432-160,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,ვაზის გასხვლა,"რცხილაძე, ვ.",1920,N2,გვ.6-10,"ვაზის გასხვლა // ვაზი და ღვინო. - თბილისი, 1920. - N2. - გვ.6-10. - გაგრძელება იხ. ჟ. ""ღვინო და ვაზი"" 1920.-N3.-გვ.8-11[MFN: 428422]",428422,  ვაზის გასხვლის აუცილებლობა და ვადები,,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,,,,  ვაზი; გასახვლა.,,
1524727432-161,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,საქართველოს მეღვინე-მევენახეთა პირველი ყრილობა : [ჯგუფური ფოტო],,1920,N2,გვ.8-9,"საქართველოს მეღვინე-მევენახეთა პირველი ყრილობა : [ჯგუფური ფოტო] // ვაზი და ღვინო. - თბილისი, 1920. - N2. - გვ.8-9[MFN: 428424]",428424,,,  ფოტოხელოვნება; ქართველი მეღვინე-მევენახეები.,,,,  სურათი.,,
1524727429-117,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"თამადა სუფრის მეუფე და მშვენება : [სიტყვა ""თამადის"" წარმოშობა და მისი ტრადიციული ქართული გაგება]",,1992,N1,გვ.96-98,"თამადა სუფრის მეუფე და მშვენება : [სიტყვა ""თამადის"" წარმოშობა და მისი ტრადიციული ქართული გაგება] // ვაზი და ღვინო. - თბილისი, 1992. - N1. - გვ.96-98[MFN: 336090]",336090,,,,,,,,,  საქართველო; ეთნოგრაფია; სტუმარ-მასპინძლობა; ღვინის სმა; ქართული ენა; ტერმინოლოგია.
1524727429-120,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"ტიკი : [საღვინე ჭურჭელი ""ტიკი""]",,1992,N2,გვ.92-93,"ტიკი : [საღვინე ჭურჭელი ""ტიკი""] // ვაზი და ღვინო. - თბილისი, 1992. - N2. - გვ.92-93[MFN: 338462]",338462,,,,,,,,,"  საქართველო; ეთნოგრაფია; მეღვინეობა-მევენახეობა: მარან, საწნახელი, ქვევრი, ტიკი."
1524727421-41,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1995&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,გუთან-კულტივატორი : [სავენახე ნიადაგის დროულად და ხარისხიანად დამუშავებისათვის] / მ. შანიძე,"შანიძე, მ.",1995,N1,გვ.54-55,"გუთან-კულტივატორი : [სავენახე ნიადაგის დროულად და ხარისხიანად დამუშავებისათვის] / მ. შანიძე // ვაზი და ღვინო. - თბილისი, 1995. - N1-2. - გვ.54-55[MFN: 300371]",300371,,,,,,,,,  სოფლის მეურნეობა; ტყის მეურნეობა; სოფლის მეურნეობის წარმოების სისტემა; მევენახეობა.
1524727435-193,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,2,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=51&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,საბჭოს მოქმედება,,1920,N6,გვ.15,"საბჭოს მოქმედება // ვაზი და ღვინო. - თბილისი, 1920. - N6. - გვ.15[MFN: 428536]",428536,  მეღვინე-მევენახეთა ყრილობათა საბჭო უცხოეთში გასატან ღვინოსა და ჭურჭლზე არსებულ გირაოზე და შაბიამან-გოგირდის ფასებზე,,  საქართველოს მთავრობა; სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,  აბაშიძე ა..,"  საზოგადოება ""კახეთი"".",,  გოგირდი; შაბიამანი; ყურძნის ჭია.,,
1524727435-192,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,2,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=51&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,მევენახეთა ყრილობები კახეთში : ყრილობა წინანდალში. თათბირი თელავში,"წ., გ.",1920,N6,გვ.13-15,"მევენახეთა ყრილობები კახეთში : ყრილობა წინანდალში. თათბირი თელავში // ვაზი და ღვინო. - თბილისი, 1920. - N6. - გვ.13-15[MFN: 428535]",428535,  მეღვინე-მევენახეთა ყრილობათა საბჭოს მიერ კახეთში ჩატარებული ყრილობებისა და თათბირების შესახებ,  წინანდალი; თელავი.,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,,,,  მეღვინე-მევენახეთა ყრილობათა საბჭო.,,
1524727432-181,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭოს მოქმედება,,1920,N4,გვ.13-15,"საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭოს მოქმედება // ვაზი და ღვინო. - თბილისი, 1920. - N4. - გვ.13-15[MFN: 428516]",428516,  მეღვინე მევენახეთა საბჭოს წევრის გ. წინამძღვრიშვილის მოხსენება და მეღვინე-მევენახეთა ყრილობათა საბჭოს მიმართვა საქართველოს სახელმწიფო რკინიგზის დეპარტამენტის კანცელარიის დირექტორისადმი და საქართველოს დიპლომატიური წარმომადგენლებისადმი სომხეთსა და აზერბაიჯანში,,  სოფლის მეურნეობა; მეღვინეობა-მევენახეობა; საქართველოს რკინიგზა; დიპლომატიური მისიები.,  წინამძღვრიშვილი გ..,,,  საქართველოს მეღვინე-მევენახეთა ყრილობათა საბჭო; მიმართვები; მოხსენებები.,,
1524727439-245,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,1,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&pft=biblio&from=1&rnum=50&sf=advanced&qs=a%3A6%3A%7Bi%3A0%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22700%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A1%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22200%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A2%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229801%22%3Bs%3A1%3A%22q%22%3Bs%3A35%3A%22%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A3%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A4%3A%229802%22%3Bs%3A1%3A%22q%22%3Bs%3A4%3A%221920%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A4%3Ba%3A3%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22600%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3Bs%3A1%3A%22b%22%3Bs%3A3%3A%22and%22%3B%7Di%3A5%3Ba%3A2%3A%7Bs%3A1%3A%22f%22%3Bs%3A3%3A%22606%22%3Bs%3A1%3A%22q%22%3Bs%3A0%3A%22%22%3B%7D%7D,ვაზი და ღვინო,ვაზის გასხვლა,"რცხილაძე, ვ.",1920,N2,გვ.6-10,"ვაზის გასხვლა // ვაზი და ღვინო. - თბილისი, 1920. - N2. - გვ.6-10. - გაგრძელება იხ. ჟ. ""ღვინო და ვაზი"" 1920.-N3.-გვ.8-11[MFN: 428422]",428422,  ვაზის გასხვლის აუცილებლობა და ვადები,,  სოფლის მეურნეობა; მევენახეობა-მეღვინეობა.,,,,  ვაზი; გასახვლა.,,
1524727432-143,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1920&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,მეღვინე-მევენახეთა ყრილობა (2) : ინსტრუქცია ყრილობისათვის,,1920,N1,გვ.5-6,"მეღვინე-მევენახეთა ყრილობა (2) : ინსტრუქცია ყრილობისათვის // ვაზი და ღვინო. - თბილისი, 1920. - N1. - გვ.5-6[MFN: 116134]",116134,,,,,,,,,  მევენახეობა.
1524727429-118,http://www.nplg.gov.ge/ec/ka/amat/search.html?cmd=search&sf=advanced&qs%5B0%5D%5Bf%5D=700&qs%5B0%5D%5Bq%5D=&qs%5B0%5D%5Bb%5D=and&qs%5B1%5D%5Bf%5D=200&qs%5B1%5D%5Bq%5D=&qs%5B1%5D%5Bb%5D=and&qs%5B2%5D%5Bf%5D=9801&qs%5B2%5D%5Bq%5D=%E1%83%95%E1%83%90%E1%83%96%E1%83%98+%E1%83%93%E1%83%90+%E1%83%A6%E1%83%95%E1%83%98%E1%83%9C%E1%83%9D&qs%5B2%5D%5Bb%5D=and&qs%5B3%5D%5Bf%5D=9802&qs%5B3%5D%5Bq%5D=1992&qs%5B3%5D%5Bb%5D=and&qs%5B4%5D%5Bf%5D=600&qs%5B4%5D%5Bq%5D=&qs%5B4%5D%5Bb%5D=and&qs%5B5%5D%5Bf%5D=606&qs%5B5%5D%5Bq%5D=&pft=biblio&rnum=50&kbd=en&submit_btn=%E1%83%AB%E1%83%98%E1%83%94%E1%83%91%E1%83%90,,,ვაზი და ღვინო,"სად წარმოიშვა სიტყვა ""ღვინო"" : [აკადემიკოს გიორგი წერეთლის აზრი სიტყვა ""ღვინის"" წარმოშობის თაობაზე] / გიორგი წერეთელი","წერეთელი, გიორგი",1992,N1,გვ.37,"სად წარმოიშვა სიტყვა ""ღვინო"" : [აკადემიკოს გიორგი წერეთლის აზრი სიტყვა ""ღვინის"" წარმოშობის თაობაზე] / გიორგი წერეთელი // ვაზი და ღვინო. - თბილისი, 1992. - N1. - გვ.37[MFN: 336835]",336835,,,,,,,,,  ქართული ენა; ტერმინოლოგია.
